Name,nhi,cnm,wnm
4C+29.05  ,5.11,0.58,4.53
3C108     ,11.46,5.41,6.05
3C132     ,26.64,6.37,20.27
B20326+27 ,11.4,4.61,6.79
B20400+25 ,8.41,6.35,2.06
3C133     ,33.75,11.45,22.3
4C+33.10  ,38.32,12.6,25.72
4C+25.14  ,10.75,4.85,5.9
3C093.1   ,15.31,6,9.31
NV0232+34 ,5.73,3.67,2.06
4C+27.07  ,6.93,1.54,5.39
3C068.2   ,9.02,3.03,5.99
5C06.237  ,6.28,1.66,4.62
3C131     ,34.69,19.22,15.47
4C+34.09  ,11.03,7.02,4.01
3C067     ,9.44,3.29,6.15
4C+27.14  ,30.72,11.32,19.4
4C+30.04  ,12.44,2.94,9.5
B20218+35 ,6.73,0.83,5.9
4C+26.12  ,7.52,4.49,3.03
3C092     ,18.52,7.18,11.34
B20411+34 ,17.15,5.55,11.6
4C+28.06  ,8.26,2.82,5.44
4C+34.07  ,6.06,2.65,3.41
4C+28.07  ,9.8,3.33,6.47
NV0157+28 ,6.18,2.97,3.21
